class name,time,location,instructors,dates,campus
ARH 4470 - Contemporary Art,Mo 6:25PM - 9:05PM,Charles E. Perry (PC) 426,Emily Caglayan,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARH 4552 - Arts of China and Japan,MoWe 2:00PM - 3:15PM,Chem & Physics 151,Lidu Yi,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARH 4553 - A Social History of Chinese Painting,MoWe 11:00AM - 12:15PM,Ryder Business 130,Lidu Yi,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARH 5362 - Baroque Art,TuTh 2:00PM - 3:15PM,Green Library 100,Silvia Espinosa,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARH 5421 - Graduate Enlightenment and Romanticism,MoWe 9:30AM - 10:45AM,Graham Center 287A,Daniel Guernsey,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARH 5465 - Modern Art,MoWe 3:30PM - 4:45PM,Owa Ehan 100,Daniel Guernsey,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARH 5482 - Graduate Contemporary Art,Mo 6:25PM - 9:05PM,Charles E. Perry (PC) 426,Emily Caglayan,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARH 5550 - Advanced Arts of China and Japan,MoWe 2:00PM - 3:15PM,Chem & Physics 151,Lidu Yi,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARH 5561 - Literati Vision in Chinese Painting,MoWe 11:00AM - 12:15PM,Ryder Business 130,Lidu Yi,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ART 1201C - 2D Design,MoWe 9:30AM - 12:15PM,West 1 Room 131,Alexandra Breaux,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ART 1201C - 2D Design,TuTh 9:30AM - 12:15PM,West 1 Room 131,Victoria Ravelo,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ART 1201C - 2D Design,MoWe 3:30PM - 6:15PM,West 1 Room 131,Lucia Morales,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ART 1203C - 3D Design,MoWe 9:30AM - 12:15PM,West 1 Room 114,Thomas Scicluna,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ART 1203C - 3D Design,TuTh 9:30AM - 12:15PM,West 1 Room 114,Sterling Rook,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ART 1203C - 3D Design,MoWe 3:30PM - 6:15PM,West 1 Room 114,"Thomas Scicluna,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ART 2021C - Introduction to 3D Animation,MoWe 9:30AM - 12:15PM,West 1 Room 120,Ariel Baron Robbins,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ART 2025C - Introduction 2D Animation,MoWe 12:30PM - 3:15PM,West 1 Room 120,Ariel Baron Robbins,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ART 2300C - Beginning Drawing,TuTh 12:30PM - 3:15PM,West 10 (W10) 101,"Jacob Stiltner,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ART 2300C - Beginning Drawing,MoWe 3:30PM - 6:15PM,West 10 (W10) 101,Victoria Ravelo,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ART 2300C - Beginning Drawing,TuTh 6:30PM - 9:15PM,West 10 (W10) 101,Juan (Sebastian) Restrepo,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ART 2330C - Beginning Figure Drawing,TuTh 9:30AM - 12:15PM,West 10 (W10) 101,Helen Burgos,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ART 2330C - Beginning Figure Drawing,MoWe 12:30PM - 3:15PM,West 10 (W10) 101,Helen Burgos,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ART 2330C - Beginning Figure Drawing,TuTh 3:30PM - 6:15PM,West 10 (W10) 101,"Juan (Sebastian) Restrepo,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ART 2330C - Beginning Figure Drawing,Tu 9:30AM - 12:15PM,Paul Cejas Architecture 140,Gretchen Scharnagl,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ART 2330C - Beginning Figure Drawing,Th 9:30AM - 12:15PM,Paul Cejas Architecture 140,Gretchen Scharnagl,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ART 2400C - Beginning Printmaking,Fr 9:30AM - 3:15PM,West 1 Room 131,Rhea Leonard,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ART 2500C - Beginning Painting,TuTh 3:30PM - 6:15PM,West 9 Room 110,Emma Ortiz,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ART 2602C - Digital Imaging,TuTh 9:30AM - 12:15PM,Viertes Haus 111,Endam Nihan Tasbasi,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ART 2602C - Digital Imaging,TuTh 6:30PM - 9:15PM,Art Studio Room 115,Endam Nihan Tasbasi,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
